input_query,ner_uni,ner_type,ner_keywords,decision,matched_uni,matched_type,matched_keywords,doc_path,page_index,score,snippet
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,서울대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\susi_text.txt,5,0.038,"- 1 - 입학전형 일정표 Ⅰ  학생부종합전형(지역균형전형) 구 분 일 정 지원서 접수(인터넷 접수) 2025. 9. 8.(월) 10:00 ~ 9. 10.(수) 18:00 서류제출(해당자) 2025. 9. 8.(월) ~ 9. 11.(목) 10:00 ~ 18:00 학교장 추천 확인* 2025. 9. 15.(월) 09:00 ~ 9. 19.(금) 18:00 1단계 합격자 발표 2025. 11. 21.(금) 18:00 이후 2단계 전형료 납부** 2025. 11. 24.(월) 10:00 ~ 11. 25.(화) 18:00 면접*** 전 모집단위(수의과대학, 의과대학 제외) 2025. 11. 28.(금) 수의과대학, 의과대학 20"
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,서울대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\susi_text.txt,1,0.0,2026학년도 대학 신입학생 수시모집 안내 2025. 5. 서 울 대 학 교 (https://admission.snu.ac.kr)
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,연세대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\susi_text.txt,16,0.054,연세대학교 서울캠퍼스 Ⅳ. 전형 일정 및 합격자 발표/등록 13 Ⅳ 전형 일정 및 합격자 발표/등록 1. 전형 일정 전형 인터넷 원서접수 논술 시험일 1단계 합격자 발표일 2단계 시험일 합격자 발표일 학생부교과전형[추천형] 9.9.(화) 10:00 ~ 9.11.(목)  17:00 - - - 12.12.(금) 학생부 종합전형 활동우수형(인문·통합) 11.10.(월) 11.15.(토) 활동우수형(자연) 11.16.(일) 국제형 국내고 11.17.(월) 11.22.(토) 해외고 /검정고시 기회균형 10.27.(월) 11.1.(토) 논술전형 9.27.(토) - - 특기자전형 국제인재 - 10.27.(월) 11.2.(일) 체육인
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,연세대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\susi_text.txt,1,0.046,CONTENTS  <공통사항> Ⅰ. 전형 요약 및 주요사항··········································································································································································· 1   1. 전형 요약 및 전년 대비 주요 변경사항······················································································································
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,연세대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\susi_text.txt,32,0.046,연세대학교 서울캠퍼스 V_3. 학생부위주 ｜ 학생부종합전형[국제형] 29 5. 전형 일정 인터넷 원서접수(온라인) 9.9.(화) 10:00 ~ 9.11.(목) 17:00 입학처 홈페이지 서류제출(온라인 업로드) 9.9.(화) 10:00 ~ 9.12.(금) 17:00 원서접수 사이트에 업로드 1단계 합격자 발표 11.17.(월) 입학처 홈페이지 면접평가 11.22.(토) 장소 및 시간은 1단계 합격자 발표 시 안내 최종합격자 발표 12.12.(금) 18:00 등록 및 충원 일정은 14쪽 ‘Ⅳ_2. 합격자 발표 및 등록일정’ 참조 6. 제출서류   가. 서류제출 안내     1) 제출 기간: ‘5. 전형 일정’ 참조
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,고려대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\korea\susi_text.txt,26,0.08655,Ⅳ. 전형별 주요사항 및 세부 일정  |  25 6. 전형일정 구분 일시 비고 원서접수 09.08.(월) 10:00 ～ 09.10.(수) 17:00 · 입학처 홈페이지(oku.korea.ac.kr) · 인터넷으로만 접수하므로 사진파일을 미리 준비해야 함 서류제출 (해당자에  한함) 온라인 09.08.(월) 10:00 ～ 09.10.(수) 19:00 · 입학처 홈페이지 · PDF파일로 업로드 등기우편 국내 09.11.(목) 우체국 접수(등기우편)까지 유효 · 우편접수는 등기우편만 가능함(방문접수 불가)  · (02841) 서울특별시 성북구 안암로 145 고려대학교 라이시움  입학처 “학업우수전형” 담당자 국외 09.12.(금) 입학처 도착 분까지 유효 제출서류도착 확인 (해
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,고려대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\korea\susi_text.txt,44,0.086015,Ⅳ. 전형별 주요사항 및 세부 일정  |  43 6. 전형일정     구분 일시 비고 원서접수 09.08.(월) 10:00 ～ 09.10.(수) 17:00 · 입학처 홈페이지(oku.korea.ac.kr) · 인터넷으로만 접수하므로 사진 파일을 미리 준비해야 함 서류제출 온라인 (해당자에 한함) 09.08.(월) 10:00 ～ 09.10.(수) 19:00 · 입학처 홈페이지 · PDF파일로 업로드 등기우편 09.11.(목)  우체국 접수(등기우편)까지 유효 · 우편접수는 등기우편만 가능함(방문접수 불가)  · (02841) 서울특별시 성북구 안암로 145 고려대학교 라이시움  입학처 “재직자전형” 담당자 제출서류도착 확인 09.29.(월) 10:00 ·  입학처 홈페이지
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,고려대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\korea\susi_text.txt,2,0.084897,"Ⅰ. 전형 요약 및 주요 사항 ▪전형 요약 2 ▪ 전형별 모집단위 및 모집인원 3 ▪대학수학능력시험 최저학력기준 6 Ⅱ. 원서접수 및 전형 일정 ▪ 원서접수 7 ▪ 전형일정 8 ▪ 합격자 등록(온라인 문서등록) 12 ▪ 미등록 충원 및 추가합격자 등록(온라인 문서등록) 12 ▪ 합격자 등록포기(온라인 문서등록포기) 13 Ⅲ. 지원자 유의사항 ▪ 기본사항 14 ▪ 원서접수 관련 사항 14 ▪ 수시모집 지원횟수 및 복수지원 관련 사항 15 ▪ 합격자 등록 및 이중등록 금지 15 ▪ 입학전형 공정성 및 윤리성 확보를 위한 조치, 학교폭력 조치 사항 16 Ⅳ. 전형별 주요 사항 및 세부 일정 ▪ 학생부교과(학교추천전형) 17 ▪ 학생부종합(학업우수전형) 22 ▪ 학생부종합(계열적합전형) 26 ▪ 학생부종합(고른기회전형) 30 ▪ 학생부종합(다문화전형) 37 ▪ 학생부종합(재직자전형) 40"
나 서울대 정시랑 수시에서 컴퓨터공학부 몇명 뽑는지 궁금해,서울대,정시|수시,컴퓨터공학부,문서탐색,서울대,정시,컴퓨터공학부,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\jungsi_text.txt,92,0.10196,"학전공 고고미술사학과 단일학과로 별도의 전공 배정 없음 철학과 종교학과 미학과 사회과학대학  정치외교학부 정치학전공, 외교학전공 경제학부 단일학과(부)로 별도의 전공 배정 없음 사회학과 인류학과 심리학과 지리학과 사회복지학과 언론정보학과 자연과학대학 수리과학부 단일학부로 별도의 전공 배정 없음 통계학과 단일학과로 별도의 전공 배정 없음 물리·천문학부 물리학전공 입학 이후 별도의 전공 배정 없음 천문학전공 화학부 단일학부로 별도의 전공 배정 없음 생명과학부 지구환경과학부 간호대학 단일학과(간호학과)로 별도의 전공 배정 없음 경영대학 단일학과(경영학과)로 별도의 전공 배정 없음 공과대학 광역 기계공학부, 전기·정보공학부, 컴퓨터공학부, 화학생물공학부,  산업공학과, 항공우주공학과 건설환경공학부 단일학부로 별도의 전공 배정 없음 기계공학부 재료공학부 전기·정보공학부 컴퓨터공학부 화학생물공학부 건축학과 건축학전공(5년제), 건축공학전공 산업공학과 단일학과로 별도의 전공 배정 없음 에너지자원공학과 원자핵공학과 조선해양공학과 항공우주공학과"
나 서울대 정시랑 수시에서 컴퓨터공학부 몇명 뽑는지 궁금해,서울대,정시|수시,컴퓨터공학부,문서탐색,서울대,정시,컴퓨터공학부,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\jungsi_text.txt,12,0.086649,5 사회학과 · 10 10 인류학과 7 · 7 심리학과 · 9 9 지리학과 · 8 8 사회복지학과 · 6 6 언론정보학과 · 7 7 소계 37 111 148 7 8 4 자연과학대학 수리과학부 · 9 9 7 7 5 통계학과 · 7 7 물리․천문학부 물리학전공 · 12 12 천문학전공 · 5 5 화학부 · 13 13 생명과학부 · 20 20 지구환경과학부 · 9 9 소계 · 75 75 7 7 5 간호대학 · 23 23 3 3 2 경영대학 · 53 53 3 3 2 공과대학 광역 36 · 36 · · · 건설환경공학부 · 18 18 17 17 5 기계공학부 · 32 32 재료공학부 · 31 31 전기·정보공학부 · 52 52 컴퓨터공학부 · 27 27 화학생물공학부 · 26 26 건축학과 · 15 15 산업공학과 · 12 12 에너지자원공학과 · 4 4 원자핵공학과 · 6 6 조선해양공학과 · 16 16 항공우주공학과 · 12 12 소계 36 251 287 17 17 5
나 서울대 정시랑 수시에서 컴퓨터공학부 몇명 뽑는지 궁금해,서울대,정시|수시,컴퓨터공학부,문서탐색,서울대,정시,컴퓨터공학부,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\jungsi_text.txt,73,0.077181,"공학부, 바이오시스템·소재학부 사범대학 물리교육과, 화학교육과, 생물교육과 의과대학 국어, 수학, 영어,  한국사, 탐구 <과학탐구영역 응시 기준> ㆍⅠ+Ⅰ, Ⅰ+Ⅱ, Ⅱ+Ⅱ 3개 조합 중 선택 ㆍ단, ‘물리학Ⅰ, 물리학Ⅱ,  화학Ⅰ, 화학Ⅱ’ 중  1개 과목 이상  반드시 응시해야 함 [수학 선택]  ㆍ미적분  중 택1 ㆍ기하 [탐구 선택]  ㆍ과학탐구 8과목 중 택2 ㆍ단, Ⅰ+Ⅱ 조합으로  ㆍ응시할 경우 서로 다른  ㆍ분야의 과목을 응시해야 함 ㆍ과학탐구Ⅱ 선택 시  ㆍ조정점수를 부여함  2 자연과학대학 수리과학부, 통계학과,  생명과학부, 지구환경과학부 간호대학 공과대학 광역, 건설환경공학부, 재료공학부,  컴퓨터공학부, 화학생물공학부, 건축학과,  산업공학과, 원자핵공학과, 조선해양공학과 농업생명과학대학 산림과학부, 응용생물화학부,  스마트시스템과학과 사범대학 수학교육과, 지구과학교육과 생활과학대학 식품영양학과, 의류학과 수의과대학 약학대학 첨단융합학부 치의학대학원 치의학과 국어, 수학, 영어,  한국사, 탐구 <과학탐구영역 응시 기준> ㆍⅠ+Ⅰ, Ⅰ+Ⅱ, Ⅱ+Ⅱ 3개 조합 중 선택"
나 서울대 정시랑 수시에서 컴퓨터공학부 몇명 뽑는지 궁금해,서울대,정시|수시,컴퓨터공학부,문서탐색,서울대,수시,컴퓨터공학부,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\susi_text.txt,72,0.100203,"학전공 고고미술사학과 단일학과로 별도의 전공 배정 없음 철학과 종교학과 미학과 사회과학대학  정치외교학부 정치학전공, 외교학전공 경제학부 단일학과(부)로 별도의 전공 배정 없음 사회학과 인류학과 심리학과 지리학과 사회복지학과 언론정보학과 자연과학대학 수리과학부 단일학부로 별도의 전공 배정 없음 통계학과 단일학과로 별도의 전공 배정 없음 물리·천문학부 물리학전공 입학 이후 별도의 전공 배정 없음 천문학전공 화학부 단일학부로 별도의 전공 배정 없음 생명과학부 지구환경과학부 간호대학 단일학과(간호학과)로 별도의 전공 배정 없음 경영대학 단일학과(경영학과)로 별도의 전공 배정 없음 공과대학 광역 기계공학부, 전기·정보공학부, 컴퓨터공학부, 화학생물공학부,  산업공학과, 항공우주공학과 건설환경도시공학부 단일학부로 별도의 전공 배정 없음 기계공학부 재료공학부 전기·정보공학부 컴퓨터공학부 화학생물공학부 건축학과 건축학전공(5년제), 건축공학전공 산업공학과 단일학과로 별도의 전공 배정 없음 에너지자원공학과 원자핵공학과 조선해양공학과 항공우주공학과"
나 서울대 정시랑 수시에서 컴퓨터공학부 몇명 뽑는지 궁금해,서울대,정시|수시,컴퓨터공학부,문서탐색,서울대,수시,컴퓨터공학부,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\susi_text.txt,10,0.093118,- 6 - 모집단위 정원 내 전형 지역균형전형 일반전형 기회균형특별전형 (사회통합) 합계 공과대학 광역 · · · · 건설환경도시공학부 8 26 2 36 기계공학부 16 54 6 76 재료공학부 15 37 5 57 전기·정보공학부 11 80 8 99 컴퓨터공학부 9 36 4 49 화학생물공학부 12 41 4 57 건축학과 8 25 2 35 산업공학과 4 17 2 23 에너지자원공학과 5 15 1 21 원자핵공학과 9 15 2 26 조선해양공학과 6 22 1 29 항공우주공학과 4 18 2 24 소계 107 386 39 532 농업생명 과학대학 농경제사회학부 11 15 2 28 식물생산과학부 6 25 3 34 산림과학부 5 19 2 26 식품·동물생명공학부  7 16 2 25 응용생물화학부 9 15 2 26 조경·지역시스템공학부 5 14 2 21 바이오시스템·소재학부  7 13 2 22 스마트시스템과학과 4 10 1 15 소계 54 127 16(4**) 197(4**
나 서울대 정시랑 수시에서 컴퓨터공학부 몇명 뽑는지 궁금해,서울대,정시|수시,컴퓨터공학부,문서탐색,서울대,수시,컴퓨터공학부,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\susi_text.txt,20,0.068965,"과학부, 식품·동물생명공학부,  조경·지역시스템공학부, 바이오시스템·소재학부 사범대학 물리교육과, 화학교육과, 생물교육과 의과대학 국어, 수학, 영어,  한국사, 탐구 <과학탐구영역 응시 기준> ㆍⅠ+Ⅰ, Ⅰ+Ⅱ, Ⅱ+Ⅱ 3개 조합 중 선택 ㆍ단, ‘물리학Ⅰ, 물리학Ⅱ,  화학Ⅰ, 화학Ⅱ’ 중  1개 과목 이상  반드시 응시해야 함 [수학 선택]  ㆍ미적분  중 택1 ㆍ기하 [탐구 선택]  ㆍ과학탐구 8과목 중 택2 ㆍ단, Ⅰ+Ⅱ 조합으로  ㆍ응시할 경우 서로 다른  ㆍ분야의 과목을 응시해야 함  2 자연과학대학 수리과학부, 통계학과,  생명과학부, 지구환경과학부 간호대학 공과대학 건설환경도시공학부, 재료공학부,  컴퓨터공학부, 화학생물공학부, 건축학과,  산업공학과, 원자핵공학과, 조선해양공학과 농업생명과학대학 산림과학부, 응용생물화학부,  스마트시스템과학과 사범대학 수학교육과, 지구과학교육과 생활과학대학 식품영양학과, 의류학과 수의과대학 약학대학 첨단융합학부 국어, 수학, 영어,  한국사, 탐구 <과학탐구영역 응시 기준> ㆍⅠ+Ⅰ, Ⅰ+Ⅱ, Ⅱ+Ⅱ 3개 조합 중 선택  사범대학 체육교육과 학부대학 자유전공학부 국어, 수학, 영어,  한국사, 탐구 [수학 선택]  ㆍ확률과 통계 ㆍ미적분  중 택1 ㆍ기하 [탐구 선택]  ㆍ사회탐구  구분 없이 택2 ㆍ과학탐구"
부산 사는 사람인데 건대가 메리트 있을까?,건국대,,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
연세대랑 고려대중에 어디가 더 좋아?,연세대|고려대,,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
연고대중에서 학교를 어디를 써야 좋을지 고민중이야,연세대|고려대,,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
경영학과를 쓰려고 하는데 연세대 정시랑 고려대 수시 둘중에 어디가 붙기 쉬울까?,연세대|고려대,정시|수시,,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
연세대 정시랑 고려대 수시 각각의 전형일정이 궁금해,연세대|고려대,정시|수시,전형일정,문서탐색,고려대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\korea\susi_text.txt,26,0.08655,Ⅳ. 전형별 주요사항 및 세부 일정  |  25 6. 전형일정 구분 일시 비고 원서접수 09.08.(월) 10:00 ～ 09.10.(수) 17:00 · 입학처 홈페이지(oku.korea.ac.kr) · 인터넷으로만 접수하므로 사진파일을 미리 준비해야 함 서류제출 (해당자에  한함) 온라인 09.08.(월) 10:00 ～ 09.10.(수) 19:00 · 입학처 홈페이지 · PDF파일로 업로드 등기우편 국내 09.11.(목) 우체국 접수(등기우편)까지 유효 · 우편접수는 등기우편만 가능함(방문접수 불가)  · (02841) 서울특별시 성북구 안암로 145 고려대학교 라이시움  입학처 “학업우수전형” 담당자 국외 09.12.(금) 입학처 도착 분까지 유효 제출서류도착 확인 (해
연세대 정시랑 고려대 수시 각각의 전형일정이 궁금해,연세대|고려대,정시|수시,전형일정,문서탐색,고려대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\korea\susi_text.txt,44,0.086015,Ⅳ. 전형별 주요사항 및 세부 일정  |  43 6. 전형일정     구분 일시 비고 원서접수 09.08.(월) 10:00 ～ 09.10.(수) 17:00 · 입학처 홈페이지(oku.korea.ac.kr) · 인터넷으로만 접수하므로 사진 파일을 미리 준비해야 함 서류제출 온라인 (해당자에 한함) 09.08.(월) 10:00 ～ 09.10.(수) 19:00 · 입학처 홈페이지 · PDF파일로 업로드 등기우편 09.11.(목)  우체국 접수(등기우편)까지 유효 · 우편접수는 등기우편만 가능함(방문접수 불가)  · (02841) 서울특별시 성북구 안암로 145 고려대학교 라이시움  입학처 “재직자전형” 담당자 제출서류도착 확인 09.29.(월) 10:00 ·  입학처 홈페이지
